"Qty","Reference","Description","Mfr Name","Mfr Part Number","Mouser Part Number"
"2","U2, U4","Raspberry Pi Pico no headers","Raspberry Pi","SC0915","358-SC0915"
"4","U2, U4","Pico 20 Pin Header (x2)","Amp","10129378-920001BLF","649-1012937892001BLF"
"1","U2, U4","Raspberry Pi Pico with headers (x3)","Seeed Studio","102110545","713-102110545"
