"Qty","Reference","Description","Mfr Name","Mfr Part Number","Mouser Part Number"
"2","U2, U4","Raspberry Pi Pico 2 no headers","Raspberry Pi","SC1631","358-SC1631"
"4","U2, U4","Pico 20 Pin Header (x2)","Amp","10129378-920001BLF","649-1012937892001BLF"
